Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,G4 Sensor BLE,CLC-30,Setting BLE Ad interval to 100 ms ,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 100 ms for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-31,Setting BLE Ad interval to 250 ms ,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 250 ms for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-32,Setting BLE Ad interval to 350 ms,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 350 ms for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-33,Setting BLE Ad interval to 500 ms,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 500 ms for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-34,Setting BLE Ad interval to 700 ms ,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 700 ms for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-35,Setting BLE Ad interval to 1 sec,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 1 sec for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-36,Setting BLE Ad interval to 1.5 sec,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 1.5 sec for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor BLE,CLC-37,Setting BLE Ad interval to 2 sec ,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 2 sec for Ad interval under BLE Reporting -> Save Configuration",TBD,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-38,Enabling Panel display,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Enable Display",Display should be ON and user should able to see measured temperature value,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-39,Disabling Panel display,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Disable Display",Display should be Off and user should not able to see measured temperature value,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-40,Setting Display Rotation to Actual,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Actual for Display Rotation",User should able to see default display ,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-41,Setting Display Rotation to 180 degree,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 180 degree for Display Rotation",User should able to see display in 180 degree ,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-42,Setting Display Rotation to  90 degree left,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 90 degree left for Display Rotation",User should able to see display in 90 degree left,,,,,,,,,
,Positive,G4 Sensor LCD Display,CLC-43,Setting Display Rotation to 90 degree right,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 90 degree right for Display Rotation",User should able to see display in 90 degree right,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-44,Configuring Probe selection to Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection",User should able to configure Probe selection to Both probes,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-45,Configuring Probe selection to Probe 1,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 under Probe selection",User should able to configure Probe selection to Probe 1,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-46,Configuring Probe selection to Probe 2,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 under Probe selection",User should able to configure Probe selection to Probe 2,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-47,"Setting Measurement rate to 30 sec, Communication mode = 900 MHz",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 30 secs under Measurement rate","User should able to configure Measurement rate to 30 secs, So that sensor will measure temperature for every 30 secs ",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-48,"Setting Measurement rate to 1 min, Communication mode = 900 MHz",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 1 min under Measurement rate","User should able to configure Measurement rate to 1 min, So that sensor will measure temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-49,"Setting Measurement rate to 2 mins, Communication mode = 900 MHz",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 2 mins under Measurement rate","User should able to configure Measurement rate to 2 min, So that sensor will measure temperature for every 2 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-50,"Setting Measurement rate to 3 mins, Communication mode = 900 MHz",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 3 mins under Measurement rate","User should able to configure Measurement rate to 3 mins, So that sensor will measure temperature for every 3 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-51,"Setting Measurement rate to 5 mins (Default), Communication mode = 900 MHz",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Measurement rate to 5 mins, So that sensor will measure temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-52,"Setting Measurement rate to 30 sec, Communication mode = Wifi CCX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 30 secs under Measurement rate","User should able to configure Measurement rate to 30 secs, So that sensor will measure temperature for every 30 secs ",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-53,"Setting Measurement rate to 1 min, Communication mode = Wifi CCX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 1 min under Measurement rate","User should able to configure Measurement rate to 1 min, So that sensor will measure temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-54,"Setting Measurement rate to 2 mins, Communication mode = Wifi CCX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 2 mins under Measurement rate","User should able to configure Measurement rate to 2 min, So that sensor will measure temperature for every 2 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-55,"Setting Measurement rate to 3 mins, Communication mode = Wifi CCX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 3 mins under Measurement rate","User should able to configure Measurement rate to 3 mins, So that sensor will measure temperature for every 3 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-56,"Setting Measurement rate to 5 mins (Default), Communication mode = Wifi CCX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Measurement rate to 5 mins, So that sensor will measure temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-57,"Setting Measurement rate to 30 sec, Communication mode = Wifi ACX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 30 secs under Measurement rate","User should able to configure Measurement rate to 30 secs, So that sensor will measure temperature for every 30 secs ",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-58,"Setting Measurement rate to 1 min, Communication mode = Wifi ACX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 1 min under Measurement rate","User should able to configure Measurement rate to 1 min, So that sensor will measure temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-59,"Setting Measurement rate to 2 mins, Communication mode = Wifi ACX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 2 mins under Measurement rate","User should able to configure Measurement rate to 2 min, So that sensor will measure temperature for every 2 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-60,"Setting Measurement rate to 3 mins, Communication mode = Wifi ACX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 3 mins under Measurement rate","User should able to configure Measurement rate to 3 mins, So that sensor will measure temperature for every 3 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-61,"Setting Measurement rate to 5 mins (Default), Communication mode = Wifi ACX",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Measurement rate to 5 mins, So that sensor will measure temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-62,"Setting Measurement rate to 5 mins (Default), Communication mode = Wifi TCP",None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
","User should not be able to configure Measurement rate, it should be 5 mins non configurable",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-63,Setting Report rate to1 min Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 1 min under Measurement rate","User should able to configure Report rate to 1 min, So that sensor will report temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-64,Setting Report rate to 5 mins Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Report rate to 5 mins, So that sensor will report temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-65,Setting Report rate to 10 mins Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 10 mins under Measurement rate","User should able to configure Report rate to 10 mins, So that sensor will report temperature for every 10 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-66,Setting Report rate to 15 mins Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 15 mins under Measurement rate","User should able to configure Report rate to 15 mins, So that sensor will report temperature for every 15 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-67,Setting Report rate to 30 mins Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 30 min under Measurement rate","User should able to configure Report rate to 30 min, So that sensor will report temperature for every 30 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-68,Setting Report rate to 1 hr mins Communication mode = 900 MHz,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose 900 MHz under mode 
4. Choose 1 hr under Measurement rate","User should able to configure Report rate to 1 hr, So that sensor will report temperature for every 1 hr",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-69,Setting Report rate to1 min Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 1 min under Measurement rate","User should able to configure Report rate to 1 min, So that sensor will report temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-70,Setting Report rate to 5 mins Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Report rate to 5 mins, So that sensor will report temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-71,Setting Report rate to 10 mins Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 10 mins under Measurement rate","User should able to configure Report rate to 10 mins, So that sensor will report temperature for every 10 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-72,Setting Report rate to 15 mins Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 15 mins under Measurement rate","User should able to configure Report rate to 15 mins, So that sensor will report temperature for every 15 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-73,Setting Report rate to 30 mins Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 30 min under Measurement rate","User should able to configure Report rate to 30 min, So that sensor will report temperature for every 30 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-74,Setting Report rate to 1 hr mins Communication mode = Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi CCX under mode 
4. Choose 1 hr under Measurement rate","User should able to configure Report rate to 1 hr, So that sensor will report temperature for every 1 hr",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-75,Setting Report rate to 1 min Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 1 min under Measurement rate","User should able to configure Report rate to 1 min, So that sensor will report temperature for every 1 min",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-76,Setting Report rate to 5 mins Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Report rate to 5 mins, So that sensor will report temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-77,Setting Report rate to 10 mins Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 10 mins under Measurement rate","User should able to configure Report rate to 10 mins, So that sensor will report temperature for every 10 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-78,Setting Report rate to 15 mins Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 15 mins under Measurement rate","User should able to configure Report rate to 15 mins, So that sensor will report temperature for every 15 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-79,Setting Report rate to 30 mins Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 30 min under Measurement rate","User should able to configure Report rate to 30 min, So that sensor will report temperature for every 30 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-80,Setting Report rate to 1 hr mins Communication mode = Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi ACX under mode 
4. Choose 1 hr under Measurement rate","User should able to configure Report rate to 1 hr, So that sensor will report temperature for every 1 hr",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-81,Setting Report rate to 5 mins Communication mode = Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
4. Choose 5 mins under Measurement rate","User should able to configure Report rate to 5 mins, So that sensor will report temperature for every 5 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-82,Setting Report rate to 10 mins Communication mode = Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
4. Choose 10 mins under Measurement rate","User should able to configure Report rate to 10 mins, So that sensor will report temperature for every 10 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-83,Setting Report rate to 15 mins Communication mode = Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
4. Choose 15 mins under Measurement rate","User should able to configure Report rate to 15 mins, So that sensor will report temperature for every 15 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-84,Setting Report rate to 30 mins Communication mode = Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
4. Choose 30 min under Measurement rate","User should able to configure Report rate to 30 min, So that sensor will report temperature for every 30 mins",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-85,Setting Report rate to 1 hr mins Communication mode = Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Wifi TCP under mode 
4. Choose 1 hr under Measurement rate","User should able to configure Report rate to 1 hr, So that sensor will report temperature for every 1 hr",,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-86,Measurement rate and Report rate,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose any mode under mode 
4. Choose 5 min under Measurement rate
5. Choose 1 min under Report rate -> Save","User should get Alert saying ""Measurement rate should not be set higher than the report rate""",,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-87,Setting P1 Sensor to CDI when Probe selection is Probe 1 Only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Set CDI to P1 sensor",User should able to set CDI to P1 Sensor,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-88,Setting P1 Sensor to CDI when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Set CDI to P1 sensor",User should able to set CDI to P1 Sensor,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-89,Setting P2 Sensor to CDI when Probe selection is Probe 2 Only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Set CDI to P2 sensor",User should able to set CDI to P2 Sensor,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-90,Setting P2 Sensor to CDI when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Set CDI to P2 sensor",User should able to set CDI to P2 Sensor,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-91,Setting Probe 1 configuration to Tempertaure when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose Temperature for Configuration under Probe 1",User should able to set Probe 1 Configuration to temperature,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-92,Setting Probe 1 configuration to Tempertaure when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose Temperature for Configuration under Probe 1",User should able to set Probe 1 Configuration to temperature,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-93,Setting Probe 1 configuration to Tempertaure when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 under Probe selection
4. Choose Temperature for Configuration under Probe 1",User should not be able to set configuration to temperature,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-94,Setting Probe 1 configuration to Door Ajar when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose Door Ajar for Configuration under Probe 1",User should able to set Configuration to Door Ajar,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-95,Setting Probe 1 configuration to Door Ajar when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. ChooseBoth Probesonly under Probe selection
4. Choose Door Ajar for Configuration under Probe 1",User should able to set Configuration to Door Ajar,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-96,Setting Probe 1 configuration to Door Ajar when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Door Ajar for Configuration under Probe 1",User should not be able to set configuration to Door Ajar,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-97,Setting Probe 2 configuration to Temperature when Probe selection isProbe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Temperature for Configuration under Probe 2",User should able to set Probe 2 Configuration toTemperature,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-98,Setting Probe 2 configuration to Tempertaure when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose Temperature for Configuration under Probe 2",User should able to set Probe 2 Configuration to temperature,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-99,Setting Probe 2 configuration to Tempertaure when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose Temperature for Configuration under Probe 2",User should not be able to set configuration to temperature,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-100,Setting Probe 2 configuration to Door Ajar when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Door Ajar for Configuration under Probe 2",User should able to set Configuration to Door Ajar,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-101,Setting Probe 2 configuration to Door Ajar when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. ChooseBoth Probesonly under Probe selection
4. Choose Door Ajar for Configuration under Probe 2",User should able to set Configuration to Door Ajar,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-102,Setting Probe 2 configuration to Door Ajar when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose Door Ajar for Configuration under Probe 2",User should not be able to set configuration to Door Ajar,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-103,Setting Probe 1 units to Celsius when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose celsius under Units",User should able to set units as celsius,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-104,Setting Probe 1 units to Celsius when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose celsius under Units",User should able to set units as celsius,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-105,Setting Probe 1 units to Celsius when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose celsius under Units",User should not be able to set units,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-106,Setting Probe 1 units to Fahrenheit  when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose Fahrenheit  under Units",User should able to set units as Fahrenheit ,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-107,Setting Probe 1 units to Fahrenheit  when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose Fahrenheit  under Units",User should able to set units as Fahrenheit ,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-108,Setting Probe 1 units to Fahrenheit  when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Fahrenheit  under Units",User should not be able to set Fahrenheit ,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-109,Setting Probe 2 units to Celsius when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose celsius under Units",User should able to set units as celsius,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-110,Setting Probe 2 units to Celsius when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose celsius under Units",User should able to set units as celsius,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-111,Setting Probe 2 units to Celsius when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 1 only under Probe selection
4. Choose celsius under Units",User should not be able to set units,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-112,Setting Probe 2 units to Fahrenheit  when Probe selection is Probe 2 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Fahrenheit  under Units",User should able to set units as Fahrenheit ,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-113,Setting Probe 2 units to Fahrenheit  when Probe selection is Both Probes,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Both Probes under Probe selection
4. Choose Fahrenheit  under Units",User should able to set units as Fahrenheit ,,,,,,,,,
,Negative,G4 Sensor Probe Ports,CLC-114,Setting Probe 2 units to Fahrenheit  when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Fahrenheit  under Units",User should not be able to set Fahrenheit ,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-115,Setting Probe 2 units to Fahrenheit  when Probe selection is Probe 1 only,None,"1. Open CoreLive
2. Select a sensor to configure -> Right click -> Click on Tag Profile
3. Choose Probe 2 only under Probe selection
4. Choose Fahrenheit  under Units",User should not be able to set Fahrenheit ,,,,,,,,,
,Positive,G4 Sensor Probe Ports,CLC-116,CDI Probe information via 900 MHz,None,"1. Open CoreLive
2. Select a sensor -> Choose mode as 900 MHz
3. Check for Probe information in Sensor page","User should able to get values for Probe ID, Probe type, Resistor value, Offset value, Date certified information for the probe connected in the tag",,,,,,,,,
