Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,OTA- Over-the-Air Update,OTA_37,Download for two or more Tag,Check in IR & RF mode,"Pair two or more Tag
Initiate FW download from both the Tag
Observe the behaviour of the Tag",All Tags should get downloaded with the FW,,,,,,,,,
,Positive,OTA- Over-the-Air Update,OTA_38,Make the changes in the bin file and perform OTA,Check in IR and RF Mode,"1. Change few bytes of the firmware 
2. Download Firmware over OTA
3. Check for version no. and user settings","1. Firmware is modified and corrupted
2. Firmware downloads, but do not get programmed to the program Flash
3. Version number and setting remain unchanged
4. Tag should work without any issues.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_39,Corrupt firmware OTA,Tag is paired,"1.Corrupt the firmware by changing few bytes of the firmware 
2. Download Firmware over OTA
3. Check for version no. and user settings","1. Firmware is modified and corrupted
2. Firmware download should not be possible because of checksum mismatch.
3. Version number and setting remain unchanged
4. Tag should not accept corrupted .enc file & Tag should be in normal condition.",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_40,OTA abort- Out of range,Tag is paired,"1. Start OTA from Coresever
2. Take the Tag out of range and press a key
3. Come back in range and press few keys to reconnect back within the OTA timout period
4. Check if Tag goes to sleep mode after reconnection","1. OTA should start
2. While going out of range, OTA should abort
3. While coming in range, on key press, Tag should reconnect back and start OTA ",,,,,,,,,
,Negative,OTA- Over-the-Air Update,OTA_41,Turning OFF the host after 75% completion of OTA ,Tag paired,"1. Initiate OTA update and once 75 % of OTA completes , turn OFF the host and check the Tag behavior .
2. Check for Centrak and BLE LED blinks and paging with different keys.","1.  After turning off the host, the Tag should be in normal state .
2. The LED should turn off and for any key press and release Tag should send paging data . The reconnection should be successful with the host.",,,,,,,,,
,Negative,RF Reporting,RF-01,To verify the temperature reporting when Tag is kept in Negative temperature environments,Tag Paired with Star,Keep the Tag in Negative temperature environment and check the temperature reporting on core cerver,Tag should report the temperature in proper formats,,,,,,,,,
,Positive,Check Temperature value,DS-01,To verify whether the Temperature value is currectly displayed,Tag is paired,"Pair the tag with Star
Check the temperature value in Core live and Sensor display",Should able to get same value in both corelive and sensor display,,Supriya,YES,,,,"In-Progress
(Validating expected values)",,
,Positive,Check Door Ajar status,DS-02,To verify whether the Door Ajar status is currectly displayed,Tag is paired,"Pair the tag with Star
Check the Door ajar status in Corelive and Sensor display",Should able to get same status in both corelive and sensor display,,Supriya,YES,,,,"In-Progress
(Validating expected values)",,
,Positive,Configuration settings window,ALM-01,Setting Alarm value to 1,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram value as 1 under Alarm Volume -> Save configuration",The device should generate alarm sound at the exact volume level specified in settings,,,,PASS,,,PASS,,
,Positive,Configuration settings window,ALM-02,Setting Alarm value to 2,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram value as 2 under Alarm Volume -> Save configuration",The device should generate alarm sound at the exact volume level specified in settings,,,,PASS,,,PASS,,
,Positive,Configuration settings window,ALM-03,Setting Alarm value to 3,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram value as 3 under Alarm Volume -> Save configuration",The device should generate alarm sound at the exact volume level specified in settings,,,,PASS,,,PASS,,
,Positive,Configuration settings window,ALM-04,Setting Alarm duration to 15 minutes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram duration as 15 min under Alarm Duration -> Save configuration",Device should Alarm for the configured duration,,,,PASS,,,PASS,,
,Positive,Configuration settings window,ALM-05,Setting Alarm duration to 30 minutes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram duration as 30 min under Alarm Duration -> Save configuration",Device should Alarm for the configured duration,,,,,,,PASS,,
,Positive,Configuration settings window,ALM-06,Setting Alarm duration to 45 minutes,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram duration as 45 min under Alarm Duration -> Save configuration",Device should Alarm for the configured duration,,,,,,,PASS,,
,Positive,Configuration settings window,ALM-07,Setting Alarm duration to 1 hour ,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram duration as 1 hour under Alarm Duration -> Save configuration",Device should Alarm for the configured duration,,,,,,,PASS,,
,Positive,Configuration settings window,ALM-08,Setting Alarm duration to Infinite,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> click on Edit
3. Choose alram duration as Infinite under Alarm Duration -> Save configuration",Device should Alarm for infinite duration.,,,,,,,PASS,,
,Positive,Configuration settings window,CCW-01,Setting Probe 1 alrert range to -20 to 30 in celcius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration","If the temperature goes beyond -20C and 30C, device should Alarm for the configured duration",,,,PASS,,,PASS,,
,Negative,Configuration settings window,CCW-02,Setting Probe 1 alrert range to -20 to 30 in celcius,None,"1. Open Core configuration->  Switch to Environmental Monitoring.
2. Select a G4 tag to be configured -> Click on Edit
3. Select Probe 1 as Temperature  -> Select Celsius under Units -> Give alert range as -20 to 30 -> Save Configuration
4. Make temperature as -21C and check for Alarm ",Device should not Alarm for the set temperature,,,,PASS,,,PASS,,
